rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
11;302978739;PREVEAM;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;8;1;PARIS;75;8 RUE MONTESQUIEU 75001 PARIS, 78 RUE DE TURBIGO 75003 PARIS, 143 QUAI DE VALMY 75010 PARIS, 336 RUE SAINT-HONORE 75001 PARIS, 18 RUE ROYALE 75008 PARIS, 11 RUE DE ROME 75008 PARIS, 24 AVENUE DE LA GRANDE ARMEE 75017 PARIS, 146 BOULEVARD HAUSSMANN 75008 PARIS;CHAUDE;90;81.2
12;784448433;CEREP;PUBLIC;PUB_HOPITAL;8;2;PARIS, COURBEVOIE;75, 92;31 RUE DU FAUBOURG POISSONNIERE 75009 PARIS, 20 BOULEVARD JOURDAN 75014 PARIS, 56 RUE DU FAUBOURG POISSONNIERE 75010 PARIS, COPES 26 BOULEVARD BRUNE 75014 PARIS, EPI USIS 3 RUE DE RIDDER 75014 PARIS, 6 ALLEE JOSEPH RECAMIER 31 RUE OLIVIER DE SERRES 75015 PARIS, 68 RUE DES PLANTES 75014 PARIS, 7 IMPASSE MICHAEL WINBURN 92400 COURBEVOIE;CHAUDE;90;81.2
13;200027233;CENTRE HOSPITALIER RIVES DE SEINE;PUBLIC;PUB_HOPITAL;6;3;NEUILLY-SUR-SEINE, COURBEVOIE, PUTEAUX;92;36 BOULEVARD DU GENERAL LECLERC 92200 NEUILLY-SUR-SEINE, 30 RUE KILFORD 92400 COURBEVOIE, 1 BOULEVARD RICHARD WALLACE 92800 PUTEAUX;CHAUDE;90;89.2
14;802485920;FONDATION SANTE SERVICE;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CENTRE;6;5;LEVALLOIS-PERRET, VILLENEUVE-LA-GARENNE, MONTREUIL, VILLEPINTE, RUNGIS;92, 93, 94;CS 30207 88 RUE DE VILLIERS 92300 LEVALLOIS-PERRET, 141 BOULEVARD CHARLES DE GAULLE 92390 VILLENEUVE-LA-GARENNE, SSIAD 92 141 BOULEVARD CHARLES DE GAULLE 92390 VILLENEUVE-LA-GARENNE, 66-72 RUE MARCEAU 93100 MONTREUIL, 18 PLACE DES NYMPHEAS 93420 VILLEPINTE, 40-48 PARC ICADE BAT MIAMI 4E ETAGE 40 RUE D'ARCUEIL 94150 RUNGIS;CHAUDE;90;80.8
15;331378018;CENTRE MEDICO CHIRURGICAL AMBROISE PARE HARTMANN (CMC AMBROISE PARE HA);PUBLIC;PUB_HOPITAL;4;2;NEUILLY-SUR-SEINE, CLICHY;92;25 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE, 27 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE, 8-10 8 RUE GUSTAVE EIFFEL 92110 CLICHY, 48 T BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;CHAUDE;90;90.0
16;562097972;HOPITAL PRIVE GEOFFROY SAINT HILAIRE;PUBLIC;PUB_HOPITAL;4;1;PARIS;75;59 RUE GEOFFROY-SAINT-HILAIRE 75005 PARIS, 6 RUE LACEPEDE 75005 PARIS, 15 RUE LACEPEDE 75005 PARIS, 11 RUE LACEPEDE 75005 PARIS;CHAUDE;90;90.0
17;784710337;ASSOCIATION GOMBAULT DARNAUD;PUBLIC;PUB_HOPITAL;4;2;PARIS, AUBERVILLIERS;75, 93;24 RUE BAYEN 75017 PARIS, 41 RUE RAYMOND LOSSERAND 75014 PARIS, 9 BOULEVARD GOUVION-SAINT-CYR 75017 PARIS, 237 AVENUE JEAN JAURES 93300 AUBERVILLIERS;CHAUDE;90;85.0
18;180007023;INSTITUTION NATIONALE DES INVALIDES;PUBLIC;PUB_HOPITAL, PUB_MAIRIE;3;2;PARIS, CRETEIL;75, 94;6 BOULEVARD DES INVALIDES 75007 PARIS, 47 RUE DE L’ECHAT 94000 CRETEIL;CHAUDE;90;85.0
19;269201364;CTRE LONG MOYEN SEJOUR FONDATION ROGUET;PUBLIC;PUB_HOPITAL;3;1;CLICHY;92;58 RUE GEORGES BOISSEAU 92110 CLICHY, 64 RUE VILLENEUVE 92110 CLICHY;CHAUDE;90;90.0
20;311770978;MAISON DE SANTE DE BELLEVUE;PUBLIC;PUB_HOPITAL;3;3;PUTEAUX, MEUDON, SEVRES;92;12 RUE JEAN JAURES 92800 PUTEAUX, 8 AVENUE DU ONZE NOVEMBRE 1918 92190 MEUDON, 26 RUE AUGUSTE RODIN 92310 SEVRES;CHAUDE;90;81.7
21;311844484;ASSOCIATION LA CHATAIGNERAIE;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;3;2;MENUCOURT, PARIS;95, 75;BOIS DE L'ORIENT 95180 MENUCOURT, 48 RUE DE LA CONVENTION 75015 PARIS, BOIS D'ORIENT 95180 MENUCOURT;CHAUDE;90;70.7
22;562093740;CLINIQUE ARAGO;PUBLIC;PUB_HOPITAL;3;1;PARIS;75;187 A 187 A RUE RAYMOND LOSSERAND 75014 PARIS, 95-95 BIS 95 BOULEVARD ARAGO 75014 PARIS, 93 BOULEVARD ARAGO 75014 PARIS;CHAUDE;90;90.0
23;582026241;CLINIQUE DE L'ALMA;PUBLIC;PUB_HOPITAL;3;1;PARIS;75;166 RUE DE L'UNIVERSITE 75007 PARIS, 17 RUE DE LA COMETE 75007 PARIS, 153 RUE DE L'UNIVERSITE 75007 PARIS;CHAUDE;90;83.3
24;775670896;LES AILES DEPLOYEES;PUBLIC;PUB_HOPITAL;3;3;PARIS, SAVIGNY-LE-TEMPLE, CERGY;75, 77, 95;31 RUE DE LIEGE 75008 PARIS, 60 RUE DU LAITON 77176 SAVIGNY-LE-TEMPLE, MAISON HOSPITALIERE DE CERGY 1 PLACE DES PINETS 95000 CERGY;CHAUDE;90;75.7
25;775682990;FONDATION HOPITAL SAINT JOSEPH;PUBLIC;PUB_HOPITAL;3;2;PARIS, LE PLESSIS-ROBINSON;75, 92;FONDATION HOPITAL SAINT -JOSEPH 185 RUE RAYMOND LOSSERAND 75014 PARIS, PARIS SAINT JOSEPH 65 RUE CASTAGNARY 75015 PARIS, MARIE LANNELONGUE 133 AVENUE DE LA RESISTANCE 92350 LE PLESSIS-ROBINSON;CHAUDE;90;88.3
26;784257164;INSTITUT CURIE;PUBLIC;PUB_HOPITAL;3;3;PARIS, ORSAY, SAINT-CLOUD;75, 91, 92;26 RUE D'ULM 75005 PARIS, CAMPUS UNIVERSITAIRE BAT 101 15 RUE GEORGES CLEMENCEAU 91400 ORSAY, CENTRE RENE HUGUENIN 35 RUE DAILLY 92210 SAINT-CLOUD;CHAUDE;90;82.3
27;313150393;CLINIQUE DU ROND POINT DES CHAMPS ELYSEES (CLINIQUE DES CHAMPS ELYSEES) (CRPCE);PUBLIC;PUB_HOPITAL;2;1;PARIS;75;61 AVENUE FRANKLIN D. ROOSEVELT 75008 PARIS, 57 AVENUE FRANKLIN D. ROOSEVELT 75008 PARIS;CHAUDE;90;90.0
28;350508131;CLINIQUE PAUL DOUMER;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;62 RUE DE LA TOUR 75016 PARIS, 36 RUE NICOLO 75016 PARIS;CHAUDE;90;90.0
29;414147926;CLINIQUE DU CHATEAU;PUBLIC;PUB_HOPITAL;2;2;PUTEAUX, GARCHES;92;12 RUE JEAN JAURES 92800 PUTEAUX, 11 B RUE DE LA PORTE JAUNE 92380 GARCHES;CHAUDE;90;87.5
30;441637402;CLINALLIANCE PARIS BUTTES CHAUMONT;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;39 A 43 39 RUE FESSART 75019 PARIS, 19 RUE HEGESIPPE MOREAU 75018 PARIS;CHAUDE;90;87.5
31;520293382;MAISON DE SANTE DE ROCHEBRUNE;PUBLIC;PUB_HOPITAL;2;2;PUTEAUX, GARCHES;92;12 RUE JEAN JAURES 92800 PUTEAUX, 153 RUE DE BUZENVAL 92380 GARCHES;CHAUDE;90;87.5
32;784615379;ASSOCIATION DES DAMES DU CALVAIRE (ADC);PUBLIC;PUB_HOPITAL;2;1;PARIS;75;106 AVENUE EMILE ZOLA 75015 PARIS, ESPACE AURELIE JOUSSET 55 RUE DE LOURMEL 75015 PARIS;CHAUDE;90;90.0
33;784670630;CENTRE HOSPITALIER DE BLIGNY;PUBLIC;PUB_HOPITAL;2;2;PARIS, BRIIS-SOUS-FORGES;75, 91;61 RUE SAINT-DIDIER 75016 PARIS, RUE DE BLIGNY 91640 BRIIS-SOUS-FORGES;CHAUDE;90;81.0
34;785423773;HOPITAL AMERICAIN DE PARIS;PUBLIC;PUB_HOPITAL;2;2;NEUILLY-SUR-SEINE, LEVALLOIS-PERRET;92;63 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE, 3 RUE ALBERT DE VATIMESNIL 92300 LEVALLOIS-PERRET;CHAUDE;90;90.0
35;881505101;GCS OUDINOT COGNACQ-JAY;PUBLIC;PUB_HOPITAL;2;1;PARIS;75;17 RUE NOTRE-DAME DES CHAMPS 75006 PARIS, 2 RUE ROUSSELET 75007 PARIS;CHAUDE;90;90.0
36;310132691;CLINIQUE DU VIEUX CHATEAU D'OC;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
37;311058788;ANCIENNE CLINIQUE BLOMET;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;39 RUE MSTISLAV ROSTROPOVITCH 75017 PARIS;CHAUDE;90;90.0
38;335880365;MAISON DE SANTE DE MERFY;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
39;442455234;CLINIQUE MADELEINE REMUZAT;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
40;448937417;CLINIQUE DE LA MUETTE;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;46 A 48 46 RUE NICOLO 75016 PARIS;CHAUDE;90;90.0
41;480877521;CLINIQUE DU LITTORAL;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
42;524246998;CLINIQUE DE CHATILLON;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
43;529007460;SAS CLINIQUE DU VIRVAL;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
44;534403357;CLINIQUE DE L'EPINOY;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
45;552097123;CLINIQUE DU LOUVRE;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;17 RUE SAINT-GERMAIN L'AUXERROIS 75001 PARIS;CHAUDE;90;90.0
46;572182103;CLINIQUE JOUVENET;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;6 SQUARE JOUVENET 75016 PARIS;CHAUDE;90;90.0
47;751526591;CLINIQUE DU CAMPUS;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
48;754094902;CENTRE MEDICO CHIRURGICAL BIZET (CMC BIZET);PUBLIC;PUB_HOPITAL;1;1;PARIS;75;23 RUE GEORGES BIZET 75016 PARIS;CHAUDE;90;90.0
49;784615403;ASS MATERNITE SAINTE FELICITE;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;7 RUE DE CASABLANCA 75015 PARIS;CHAUDE;90;90.0
50;785423807;FONDATION PAUL PARQUET;PUBLIC;PUB_HOPITAL;1;1;NEUILLY-SUR-SEINE;92;ILE DE LA GRANDE JATTE 41 BOULEVARD PAUL-EMILE VICTOR 92200 NEUILLY-SUR-SEINE;CHAUDE;90;90.0
51;791461189;CLINIQUE DES OYATS - CENTRE DE POST-CURE SPYCHIATRIQUE DU LITTORAL;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
52;804114130;CLINIQUE DES BOUCLES DE LA SEINE;PUBLIC;PUB_HOPITAL;1;1;PUTEAUX;92;12 RUE JEAN JAURES 92800 PUTEAUX;CHAUDE;90;90.0
53;819158965;INICEA SANTE MENTALE;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;21-25 21 RUE BALZAC 75008 PARIS;CHAUDE;90;90.0
54;880066295;CLINIQUE TURIN;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;9 RUE DE TURIN 75008 PARIS;CHAUDE;90;90.0
55;880066774;CLINIQUE INTERNATIONALE DU PARC MONCEAU;PUBLIC;PUB_HOPITAL;1;1;PARIS;75;21-23 21 RUE DE CHAZELLES 75017 PARIS;CHAUDE;90;90.0
56;130004955;DIRECTION GENERALE DES FINANCES PUBLIQUES (DGFIP);PUBLIC;PUB_MAIRIE;25;7;PARIS, NOISIEL, CROISSY-BEAUBOURG, PUTEAUX, MONTREUIL, NOISY-LE-GRAND, SAINT-MAURICE;75, 77, 92, 93, 94;BATIMENT COLBERT 139 RUE DE BERCY 75012 PARIS, 9 PLACE SAINT-SULPICE 75006 PARIS, 78 RUE DE VARENNE 75007 PARIS, BATIMENT NECKER 120 RUE DE BERCY 75012 PARIS, 182 RUE SAINT-HONORE 75001 PARIS, 139 RUE DE BERCY 75012 PARIS, 110 RUE DE GRENELLE 75007 PARIS, 20 AVENUE DE SEGUR 75007 PARIS;CHAUDE;85;73.6
57;120020011;DIRECTION DES RESSOURCES HUMAINES DES MINISTERES ECONOMIQUES ET FINANCIERS (SG/DRH);PUBLIC;PUB_MAIRIE;19;8;PARIS, NOISIEL, CROISSY-BEAUBOURG, MELUN, VERSAILLES, EVRY-COURCOURONNES, AUBERVILLIERS, CERGY;75, 77, 78, 91, 93, 95;139 RUE DE BERCY 75012 PARIS, 180 RUE DE RIVOLI 75001 PARIS, 10 RUE DES FONDS VERTS 75012 PARIS, 2 BOULEVARD DIDEROT 75012 PARIS, 9 PORT DES CHAMPS ELYSEES 75008 PARIS, NUMEROS 36-48 36 RUE LOUISE WEISS 75013 PARIS, 24 RUE DE RICHELIEU 75001 PARIS, 5 PLACE DES VINS DE FRANCE 75012 PARIS;CHAUDE;85;69.5
58;267802445;CENTRE HOSPITALIER THEOPHILE ROUSSEL;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;18;10;MONTESSON, POISSY, SARTROUVILLE, MARLY-LE-ROI, LE VESINET, SAINT-GERMAIN-EN-LAYE, SURESNES, COLOMBES;78, 92;1 RUE PHILIPPE MITHOUARD 78360 MONTESSON, 35 AVENUE FERNAND LEFEBVRE 78300 POISSY, 4 AVENUE JEAN JAURES 78500 SARTROUVILLE, IMMEUBLE LE SEXTANT 15 AVENUE AUGUSTE RENOIR 78160 MARLY-LE-ROI, 15 RUE HENRI DUNANT 78110 LE VESINET, 14 RUE DE MONTVAL 78160 MARLY-LE-ROI, 10 RUE JEAN JAURES 78360 MONTESSON, 100 RUE ROBERT BOURQUELOT 78500 SARTROUVILLE;CHAUDE;85;77.2
59;269401063;GROUPE HOSPITALIER FONDATION VALLEE - PAUL GUIRAUD;PUBLIC;PUB_HOPITAL;17;12;VILLEJUIF, BOULOGNE BILLANCOURT, BOULOGNE-BILLANCOURT, CLAMART, SAINT-CLOUD, CHATILLON, MONTROUGE, CACHAN;94, 92;54 AVENUE DE LA REPUBLIQUE 94800 VILLEJUIF, 127 AV J B CLEMENT 92100 BOULOGNE BILLANCOURT, 31 RUE FERNAND PELLOUTIER 92100 BOULOGNE-BILLANCOURT, 58 A 62 58 ROUTE DU PAVE BLANC 92140 CLAMART, LES CATALPAS 21 RUE DU CALVAIRE 92210 SAINT-CLOUD, 33 RUE DU PDT ROOSEVELT 92140 CLAMART, 25 RUE JEAN PIERRE TIMBAUD 92320 CHATILLON, 7 RUE AMAURY DUVAL 92120 MONTROUGE;CHAUDE;85;73.2
60;217500016;VILLE DE PARIS;PUBLIC;PUB_MAIRIE, PUB_ECOLE;14;6;PARIS 04, PARIS, MEAUX, NANTERRE, PANTIN, AUBERVILLIERS;75, 77, 92, 93;4 PL HOTEL VILLE ESP LIBERATION 75004 PARIS 04, 3 RUE D'ALESIA 75014 PARIS, 188 RUE D'ALESIA 75014 PARIS, 190 RUE D'ALESIA 75014 PARIS, 12 RUE D'ALESIA 75014 PARIS, 3 B RUE D'ALESIA 75014 PARIS, 42 RUE D'ALLERAY 75015 PARIS, 3 PLACE DU CARDINAL AMETTE 75015 PARIS;CHAUDE;85;77.5
61;237500079;REGION ILE DE FRANCE;PUBLIC;PUB_MAIRIE;13;2;SAINT-OUEN-SUR-SEINE, PARIS;93, 75;2 RUE SIMONE VEIL 93400 SAINT-OUEN-SUR-SEINE, 33 RUE BARBET DE JOUY 75007 PARIS, 57 RUE DE BABYLONE 75007 PARIS, 35 BOULEVARD DES INVALIDES 75007 PARIS, 6 RUE MONSIEUR 75007 PARIS, 34 RUE VANEAU 75007 PARIS, 29 RUE BARBET DE JOUY 75007 PARIS, 115 RUE DU BAC 75007 PARIS;CHAUDE;85;83.8
62;130012495;DIRECTION REGIONALE FINANCES PUBLIQUES ILE DE FRANCE ET DEPARTEMENT PARIS (DRFIP);PUBLIC;PUB_MAIRIE;12;2;PARIS, MONTREUIL;75, 93;94 RUE REAUMUR 75002 PARIS, 9 RUE D'UZES 75002 PARIS, 5 RUE DE LONDRES 75009 PARIS, 27 B RUE DES MEUNIERS 75012 PARIS, 29 RUE DU MOULIN VERT 75014 PARIS, 13 RUE DU GENERAL BEURET 75015 PARIS, 38 RUE DE LA REPUBLIQUE 93100 MONTREUIL, 38 PLACE DE LA REPUBLIQUE 93100 MONTREUIL;CHAUDE;85;81.2
63;160022059;DIRECTION NATIONALE D'INTERVENTIONS DOMANIALES (DNID);PUBLIC;PUB_MAIRIE;12;2;SAINT-MAURICE, PARIS;94, 75;LES ELLIPSES 3 AVENUE DU CHEMIN DE PRESLES 94410 SAINT-MAURICE, 17 RUE SCRIBE 75009 PARIS;CHAUDE;85;65.4
64;160022067;DIRECTION NATIONALE D'ENQUETES FISCALES (DNEF);PUBLIC;PUB_MAIRIE;12;3;ROMAINVILLE, PARIS, NANTERRE;93, 75, 92;56 AVENUE DE METZ 93230 ROMAINVILLE, 112 B RUE CARDINET 75017 PARIS, 101 RUE DES TROIS FONTANOT 92000 NANTERRE;CHAUDE;85;80.0
65;269300935;ETS PUBLIC DE SANTE DE VILLE-EVRARD;PUBLIC;PUB_HOPITAL;11;8;NEUILLY-SUR-MARNE, SAINT-DENIS, STAINS, MONTREUIL, AUBERVILLIERS, NOISY-LE-SEC, DRANCY, BAGNOLET;93;202 AVENUE JEAN JAURES 93330 NEUILLY-SUR-MARNE, 81 AVENUE JEAN JAURES 93330 NEUILLY-SUR-MARNE, 6 RUE AUGUSTE POULLAIN 93200 SAINT-DENIS, 6 B BOULEVARD MAXIME GORKI 93240 STAINS, 28 AVENUE PASTEUR 93100 MONTREUIL, 15 RUE DU CLOS BENARD 93300 AUBERVILLIERS, 57 RUE JEAN JAURES 93130 NOISY-LE-SEC, 118 RUE ROGER SALENGRO 93700 DRANCY;CHAUDE;85;82.3
